Recipe Name	Image	Materials Needed	Obtained From	Sell Price	NA
Dark bamboo rug	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/NH-Dark_bamboo_rug.png/revision/latest/scale-to-width-down/50?cb=20200329071218"" 	 alt=""NH-Dark bamboo rug""  	class="""" 	 	data-image-key=""NH-Dark_bamboo_rug.png"" 	data-image-name=""NH-Dark bamboo rug.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"				NA
Garbage-heap flooring	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/28/NH-Garbage-heap_flooring.png/revision/latest/scale-to-width-down/50?cb=20200325181813"" 	 alt=""NH-Garbage-heap flooring""  	class="""" 	 	data-image-key=""NH-Garbage-heap_flooring.png"" 	data-image-name=""NH-Garbage-heap flooring.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9b/NH-empty_can-icon.png/revision/latest/scale-to-width-down/18?cb=20200328194431"" 	 alt=""NH-empty can-icon""  	class="""" 	 	data-image-key=""NH-empty_can-icon.png"" 	data-image-name=""NH-empty can-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>empty can
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/NH-boot-icon.png/revision/latest/scale-to-width-down/18?cb=20200328194516"" 	 alt=""NH-boot-icon""  	class="""" 	 	data-image-key=""NH-boot-icon.png"" 	data-image-name=""NH-boot-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>boot
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-old_tire-icon.png/revision/latest/scale-to-width-down/18?cb=20200328205415"" 	 alt=""NH-old tire-icon""  	class="""" 	 	data-image-key=""NH-old_tire-icon.png"" 	data-image-name=""NH-old tire-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>old tire"	Fishing up trash		NA
Garbage-heap wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/NH-Garbage-heap_wall.png/revision/latest/scale-to-width-down/50?cb=20200325181819"" 	 alt=""NH-Garbage-heap wall""  	class="""" 	 	data-image-key=""NH-Garbage-heap_wall.png"" 	data-image-name=""NH-Garbage-heap wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9b/NH-empty_can-icon.png/revision/latest/scale-to-width-down/18?cb=20200328194431"" 	 alt=""NH-empty can-icon""  	class="""" 	 	data-image-key=""NH-empty_can-icon.png"" 	data-image-name=""NH-empty can-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>empty can
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/NH-boot-icon.png/revision/latest/scale-to-width-down/18?cb=20200328194516"" 	 alt=""NH-boot-icon""  	class="""" 	 	data-image-key=""NH-boot-icon.png"" 	data-image-name=""NH-boot-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>boot
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-old_tire-icon.png/revision/latest/scale-to-width-down/18?cb=20200328205415"" 	 alt=""NH-old tire-icon""  	class="""" 	 	data-image-key=""NH-old_tire-icon.png"" 	data-image-name=""NH-old tire-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>old tire"	Fishing up trash		NA
Honeycomb flooring	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Honeycomb_flooring.png/revision/latest/scale-to-width-down/50?cb=20200329070314"" 	 alt=""NH-Honeycomb flooring""  	class="""" 	 	data-image-key=""NH-Honeycomb_flooring.png"" 	data-image-name=""NH-Honeycomb flooring.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-wasp_nest-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195950"" 	 alt=""NH-wasp nest-icon""  	class="""" 	 	data-image-key=""NH-wasp_nest-icon.png"" 	data-image-name=""NH-wasp nest-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wasp nest"	Island resident		NA
Honeycomb wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/49/NH-Honeycomb_wall.png/revision/latest/scale-to-width-down/50?cb=20200325181847"" 	 alt=""NH-Honeycomb wall""  	class="""" 	 	data-image-key=""NH-Honeycomb_wall.png"" 	data-image-name=""NH-Honeycomb wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-wasp_nest-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195950"" 	 alt=""NH-wasp nest-icon""  	class="""" 	 	data-image-key=""NH-wasp_nest-icon.png"" 	data-image-name=""NH-wasp nest-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wasp nest"			NA
Jungle flooring	50px	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds
10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-clay-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193929"" 	 alt=""NH-clay-icon""  	class="""" 	 	data-image-key=""NH-clay-icon.png"" 	data-image-name=""NH-clay-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clay"		2,200 Bells	NA
Jungle wall	50px	"15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	Balloon		NA
Library wall		"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-furniture-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195013"" 	 alt=""NH-furniture-icon""  	class="""" 	 	data-image-key=""NH-furniture-icon.png"" 	data-image-name=""NH-furniture-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>book"	Message in a bottle		NA
Light bamboo rug	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Light_bamboo_rug.png/revision/latest/scale-to-width-down/50?cb=20200328032942"" 	 alt=""NH-Light bamboo rug""  	class="""" 	 	data-image-key=""NH-Light_bamboo_rug.png"" 	data-image-name=""NH-Light bamboo rug.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-young_spring_bamboo-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200219"" 	 alt=""NH-young spring bamboo-icon""  	class="""" 	 	data-image-key=""NH-young_spring_bamboo-icon.png"" 	data-image-name=""NH-young spring bamboo-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>young spring bamboo"	Balloon	2,400 Bells	NA
Modern wood wall	50px	"5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood"		1,800 Bells	NA
Orange rug	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/NH-Orange_rug.png/revision/latest/scale-to-width-down/50?cb=20200329071057"" 	 alt=""NH-Orange rug""  	class="""" 	 	data-image-key=""NH-Orange_rug.png"" 	data-image-name=""NH-Orange rug.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"				NA
Orange wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/NH-Orange_wall.png/revision/latest/scale-to-width-down/50?cb=20200329072708"" 	 alt=""NH-Orange wall""  	class="""" 	 	data-image-key=""NH-Orange_wall.png"" 	data-image-name=""NH-Orange wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"				NA
Peach rug	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/58/NH-Peach_rug.png/revision/latest/scale-to-width-down/50?cb=20200329062724"" 	 alt=""NH-Peach rug""  	class="""" 	 	data-image-key=""NH-Peach_rug.png"" 	data-image-name=""NH-Peach rug.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/ff/NH-peach-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195517"" 	 alt=""NH-peach-icon""  	class="""" 	 	data-image-key=""NH-peach-icon.png"" 	data-image-name=""NH-peach-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>peach"			NA
Peach wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Peach_wall.png/revision/latest/scale-to-width-down/50?cb=20200329072652"" 	 alt=""NH-Peach wall""  	class="""" 	 	data-image-key=""NH-Peach_wall.png"" 	data-image-name=""NH-Peach wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"				NA
Pear rug	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4f/NH-Pear_rug.png/revision/latest/scale-to-width-down/50?cb=20200329071134"" 	 alt=""NH-Pear rug""  	class="""" 	 	data-image-key=""NH-Pear_rug.png"" 	data-image-name=""NH-Pear rug.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"				NA
Pear wall	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/NH-Pear_wall.png/revision/latest/scale-to-width-down/50?cb=20200329072635"" 	 alt=""NH-Pear wall""  	class="""" 	 	data-image-key=""NH-Pear_wall.png"" 	data-image-name=""NH-Pear wall.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"20x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/NH-Pear-icon.png/revision/latest/scale-to-width-down/18?cb=20200328190014"" 	 alt=""NH-Pear-icon""  	class="""" 	 	data-image-key=""NH-Pear-icon.png"" 	data-image-name=""NH-Pear-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>pear"	Island resident		NA
Rustic stone wall	50px				NA
Sandy-beach flooring	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9f/NH-Sandy-beach_flooring.png/revision/latest/scale-to-width-down/50?cb=20200329072800"" 	 alt=""NH-Sandy-beach flooring""  	class="""" 	 	data-image-key=""NH-Sandy-beach_flooring.png"" 	data-image-name=""NH-Sandy-beach flooring.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-snail_shell-icon.png/revision/latest/scale-to-width-down/18?cb=20200329000303"" 	 alt=""NH-snail shell-icon""  	class="""" 	 	data-image-key=""NH-snail_shell-icon.png"" 	data-image-name=""NH-snail shell-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>sea snail
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/NH-venus_comb-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211711"" 	 alt=""NH-venus comb-icon""  	class="""" 	 	data-image-key=""NH-venus_comb-icon.png"" 	data-image-name=""NH-venus comb-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>venus comb
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e9/NH-sand_dollar-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211748"" 	 alt=""NH-sand dollar-icon""  	class="""" 	 	data-image-key=""NH-sand_dollar-icon.png"" 	data-image-name=""NH-sand dollar-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>sand dollar
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/88/NH-coral-icon.png/revision/latest/scale-to-width-down/18?cb=20200329000244"" 	 alt=""NH-coral-icon""  	class="""" 	 	data-image-key=""NH-coral-icon.png"" 	data-image-name=""NH-coral-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>coral
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/NH-giant_clam-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211839"" 	 alt=""NH-giant clam-icon""  	class="""" 	 	data-image-key=""NH-giant_clam-icon.png"" 	data-image-name=""NH-giant clam-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>giant clam
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e9/NH-cowries-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211608"" 	 alt=""NH-cowries-icon""  	class="""" 	 	data-image-key=""NH-cowries-icon.png"" 	data-image-name=""NH-cowries-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>cowries"	Island resident	4,120 Bells	NA
Sci-fi wall	50px	"5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/NH-star_fragment-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195731"" 	 alt=""NH-star fragment-icon""  	class="""" 	 	data-image-key=""NH-star_fragment-icon.png"" 	data-image-name=""NH-star fragment-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>star fragment
1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/NH-large_star_fragment-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195235"" 	 alt=""NH-large star fragment-icon""  	class="""" 	 	data-image-key=""NH-large_star_fragment-icon.png"" 	data-image-name=""NH-large star fragment-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>large star fragment"	Balloon		NA
Shell rug	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/NH-Shell_rug.png/revision/latest/scale-to-width-down/50?cb=20200326055931"" 	 alt=""NH-Shell rug""  	class="""" 	 	data-image-key=""NH-Shell_rug.png"" 	data-image-name=""NH-Shell rug.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/NH-giant_clam-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211839"" 	 alt=""NH-giant clam-icon""  	class="""" 	 	data-image-key=""NH-giant_clam-icon.png"" 	data-image-name=""NH-giant clam-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>giant clam"		5,400 Bells	NA
Stacked-wood wall	50px	"15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood"			NA
Steel flooring	50px	"7x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	Message in a bottle	5,250 Bells	NA
Stone wall	50px	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone"			NA
Wooden-mosiac wall	50px	"15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	Island resident	1,800 Bells	NA
Woodland wall	50px	"15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds
9x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"		1,380 Bells	NA
